Measured values
Time (s)    Pd (nm)    Fn (mN)    FnRef (mN)    SegmentID    Res (ohm)
0    0    0    0    0    0
0.1    1.4961    0.0006    0    0    0
0.2    2.1416    0.002    0    0    0
0.3    2.784    0.0027    0    0    0
0.4    3.6231    0.0043    0    0    0
0.5    4.2894    0.0063    0    1    0
0.6    4.8482    0.0082    0    1    0
0.7    5.4496    0.0098    0    1    0
0.8    6.4867    0.0136    0    1    0
0.9    11.9511    0.0413    0    1    0
1    22.8395    0.111    0    1    0
1.1    30.0000    0.2000    0    1    0
1.2    40.0000    0.4000    0    1    0
1.3    50.0000    0.7000    0    1    0
1.4    60.0000    1.1000    0    1    0
1.5    70.0000    1.6000    0    1    0
1.6    80.0000    2.2000    0    1    0
1.7    90.0000    2.9000    0    1    0
1.8    100.0000    3.7000    0    1    0
1.9    110.0000    4.6000    0    1    0
2.0    120.0000    5.6000    0    1    0
2.1    130.0000    6.7000    0    1    0
2.2    140.0000    7.9000    0    1    0
2.3    150.0000    9.2000    0    1    0
2.4    160.0000    10.0000    0    1    0
2.5    170.0000    9.5000    0    2    0
2.6    165.0000    8.8000    0    2    0
2.7    160.0000    8.0000    0    2    0
2.8    155.0000    7.2000    0    2    0
2.9    150.0000    6.5000    0    2    0
3.0    145.0000    5.8000    0    2    0
3.1    140.0000    5.2000    0    2    0
3.2    135.0000    4.6000    0    2    0
3.3    130.0000    4.0000    0    2    0
3.4    125.0000    3.5000    0    2    0
3.5    120.0000    3.0000    0    2    0
3.6    115.0000    2.5000    0    2    0
3.7    110.0000    2.0000    0    2    0
3.8    105.0000    1.5000    0    2    0
3.9    100.0000    1.0000    0    2    0
4.0    95.0000    0.8000    0    3    0
4.1    90.0000    0.6000    0    3    0
4.2    85.0000    0.4000    0    3    0
4.3    80.0000    0.2000    0    3    0
4.4    75.0000    0.0000    0    3    0
